Time,I(L),REF1,REF84m,VC
1e-005,0.0954132,1,0.084,0.0682983
2e-005,0.182194,1,0.084,0.196086
3e-005,0.252927,1,0.084,0.389257
4e-005,0.302234,1,0.084,0.624594
5e-005,0.327168,1,0.084,0.876739
6e-005,0.327294,1,0.084,1.12074
7e-005,0.304538,1,0.084,1.33436
8e-005,0.262823,1,0.084,1.49995
9e-005,0.20754,1,0.084,1.60572
0.0001,0.144931,1,0.084,1.64645
0.00011,0.0814384,1,0.084,1.62339
0.00012,0.0230841,1,0.084,1.54369
0.00013,-0.0250629,1,0.084,1.41925
0.00014,-0.0592863,1,0.084,1.26522
0.00015,-0.0774653,1,0.084,1.09836
0.00016,-0.0791493,1,0.084,0.935318
0.00017,-0.065469,1,0.084,0.791076
0.00018,-0.0389072,1,0.084,0.677689
0.00019,-0.00296049,1,0.084,0.603377
0.0002,0.0382679,1,0.084,0.572055
0.00021,0.0805002,1,0.084,0.583299
0.00022,0.119699,1,0.084,0.632731
0.00023,0.152426,1,0.084,0.712732
0.00024,0.176118,1,0.084,0.813414
0.00025,0.189261,1,0.084,0.923723
0.00026,0.191447,1,0.084,1.03257
0.00027,0.183326,1,0.084,1.12985
0.00028,0.166465,1,0.084,1.20736
0.00029,0.143128,1,0.084,1.25938
0.0003,0.116009,1,0.084,1.28301
0.00031,0.0879443,1,0.084,1.27827
0.00032,0.0616403,1,0.084,1.24781
0.00033,0.039425,1,0.084,1.1965
0.00034,0.0230617,1,0.084,1.13077
0.00035,0.0136272,1,0.084,1.05792
0.00036,0.0114648,1,0.084,0.98533
0.00037,0.0162089,1,0.084,0.919787
0.00038,0.0268754,1,0.084,0.866884
0.00039,0.0420014,1,0.084,0.830594
0.0004,0.0598206,1,0.084,0.813022
0.00041,0.078452,1,0.084,0.814351
0.00042,0.0960855,1,0.084,0.832981
0.00043,0.111146,1,0.084,0.865813
0.00044,0.122422,1,0.084,0.908661
0.00045,0.129153,1,0.084,0.956724
0.00046,0.131062,1,0.084,1.00509
0.00047,0.128348,1,0.084,1.0492
0.00048,0.121625,1,0.084,1.08525
0.00049,0.111838,1,0.084,1.11049
0.0005,0.100143,1,0.084,1.1234
0.00051,0.0877863,1,0.084,1.12374
0.00052,0.0759771,1,0.084,1.11245
0.00053,0.0657801,1,0.084,1.09149
0.00054,0.0580254,1,0.084,1.0636
0.00055,0.0532492,1,0.084,1.03192
0.00056,0.0516665,1,0.084,0.99973
0.00057,0.0531762,1,0.084,0.970076
0.00058,0.0573952,1,0.084,0.945544
0.00059,0.0637163,1,0.084,0.928034
0.0006,0.0713826,1,0.084,0.918639
0.00061,0.0795704,1,0.084,0.917605
0.00062,0.0874713,1,0.084,0.924377
0.00063,0.094367,1,0.084,0.937709
0.00064,0.0996896,1,0.084,0.955839
0.00065,0.103063,1,0.084,0.976694
0.00066,0.104323,1,0.084,0.998103
0.00067,0.103517,1,0.084,1.01802
0.00068,0.100882,1,0.084,1.03469
0.00069,0.0968071,1,0.084,1.0468
0.0007,0.0917876,1,0.084,1.05358
0.00071,0.0863678,1,0.084,1.05481
0.00072,0.0810868,1,0.084,1.05081
0.00073,0.0764291,1,0.084,1.04235
0.00074,0.0727825,1,0.084,1.03058
0.00075,0.0704099,1,0.084,1.01687
0.00076,0.0694343,1,0.084,1.00264
0.00077,0.0698379,1,0.084,0.989283
0.00078,0.0714752,1,0.084,0.977971
0.00079,0.0740963,1,0.084,0.969608
0.0008,0.0773786,1,0.084,0.964747
0.00081,0.0809627,1,0.084,0.963571
0.00082,0.084489,1,0.084,0.965902
0.00083,0.0876315,1,0.084,0.971248
0.00084,0.0901256,1,0.084,0.978871
0.00085,0.091788,1,0.084,0.98788
0.00086,0.0925279,1,0.084,0.997321
0.00087,0.092348,1,0.084,1.00628
0.00088,0.0913371,1,0.084,1.01394
0.00089,0.0896548,1,0.084,1.0197
0.0009,0.0875112,1,0.084,1.02317
0.00091,0.0851435,1,0.084,1.02419
0.00092,0.082791,1,0.084,1.02286
0.00093,0.0806732,1,0.084,1.0195
0.00094,0.0789702,1,0.084,1.01456
0.00095,0.0778093,1,0.084,1.00865
0.00096,0.077257,1,0.084,1.00239
0.00097,0.0773174,1,0.084,0.996397
0.00098,0.0779372,1,0.084,0.991208
0.00099,0.0790144,1,0.084,0.987248
0.001,0.0804124,1,0.084,0.984793
0.00101,0.0819749,1,0.084,0.983955
0.00102,0.0835428,1,0.084,0.984687
0.00103,0.0849685,1,0.084,0.986798
0.00104,0.0861296,1,0.084,0.989981
0.00105,0.0869378,1,0.084,0.993855
0.00106,0.0873449,1,0.084,0.998002
0.00107,0.0873441,1,0.084,1.00201
0.00108,0.0869674,1,0.084,1.00552
0.00109,0.0862795,1,0.084,1.00824
0.0011,0.085369,1,0.084,1.00997
0.00111,0.0843389,1,0.084,1.01063
0.00112,0.0832949,1,0.084,1.01025
0.00113,0.0823362,1,0.084,1.00893
0.00114,0.0815458,1,0.084,1.00688
0.00115,0.0809847,1,0.084,1.00434
0.00116,0.0806877,1,0.084,1.0016
0.00117,0.0806619,1,0.084,0.998918
0.00118,0.0808885,1,0.084,0.996549
0.00119,0.0813267,1,0.084,0.994688
0.0012,0.0819187,1,0.084,0.993471
0.00121,0.0825971,1,0.084,0.992961
0.00122,0.0832916,1,0.084,0.993151
0.00123,0.0839357,1,0.084,0.993968
0.00124,0.084473,1,0.084,0.995286
0.00125,0.0848615,1,0.084,0.996944
0.00126,0.0850763,1,0.084,0.998759
0.00127,0.085111,1,0.084,1.00055
0.00128,0.0849763,1,0.084,1.00215
0.00129,0.0846981,1,0.084,1.00342
0.0013,0.0843137,1,0.084,1.00427
0.00131,0.0838674,1,0.084,1.00466
0.00132,0.0834059,1,0.084,1.00457
0.00133,0.0829737,1,0.084,1.00407
0.00134,0.0826089,1,0.084,1.00322
0.00135,0.0823406,1,0.084,1.00214
0.00136,0.0821863,1,0.084,1.00094
0.00137,0.0821515,1,0.084,0.999751
0.00138,0.0822303,1,0.084,0.998674
0.00139,0.0824064,1,0.084,0.997806
0.0014,0.0826555,1,0.084,0.997211
0.00141,0.0829488,1,0.084,0.996924
0.00142,0.0832552,1,0.084,0.996948
0.00143,0.083545,1,0.084,0.997256
0.00144,0.0837923,1,0.084,0.997798
0.00145,0.0839773,1,0.084,0.998503
0.00146,0.0840874,1,0.084,0.999294
0.00147,0.0841182,1,0.084,1.00009
0.00148,0.0840731,1,0.084,1.00081
0.00149,0.0839621,1,0.084,1.00141
0.0015,0.0838008,1,0.084,1.00182
0.00151,0.0836084,1,0.084,1.00203
0.00152,0.0834051,1,0.084,1.00203
0.00153,0.083211,1,0.084,1.00185
0.00154,0.0830436,1,0.084,1.0015
0.00155,0.0829164,1,0.084,1.00104
0.00156,0.0828382,1,0.084,1.00052
0.00157,0.0828125,1,0.084,0.999992
0.00158,0.0828377,1,0.084,0.999505
0.00159,0.0829074,1,0.084,0.999102
0.0016,0.0830115,1,0.084,0.998815
0.00161,0.0831377,1,0.084,0.998661
0.00162,0.0832724,1,0.084,0.998645
0.00163,0.0834023,1,0.084,0.998757
0.00164,0.0835155,1,0.084,0.998977
0.00165,0.0836028,1,0.084,0.999276
0.00166,0.0836581,1,0.084,0.999619
0.00167,0.0836786,1,0.084,0.999971
0.00168,0.0836651,1,0.084,1.0003
0.00169,0.0836215,1,0.084,1.00057
0.0017,0.0835544,1,0.084,1.00077
0.00171,0.0834718,1,0.084,1.00088
0.00172,0.0833826,1,0.084,1.0009
0.00173,0.0832958,1,0.084,1.00083
0.00174,0.0832193,1,0.084,1.0007
0.00175,0.0831595,1,0.084,1.0005
0.00176,0.0831206,1,0.084,1.00028
0.00177,0.0831047,1,0.084,1.00004
0.00178,0.0831115,1,0.084,0.999822
0.00179,0.0831386,1,0.084,0.999637
0.0018,0.0831818,1,0.084,0.999499
0.00181,0.0832358,1,0.084,0.99942
0.00182,0.0832948,1,0.084,0.999401
0.00183,0.0833527,1,0.084,0.99944
0.00184,0.0834044,1,0.084,0.999528
0.00185,0.0834453,1,0.084,0.999654
0.00186,0.0834725,1,0.084,0.999802
0.00187,0.0834846,1,0.084,0.999957
0.00188,0.0834815,1,0.084,1.0001
0.00189,0.0834648,1,0.084,1.00023
0.0019,0.0834371,1,0.084,1.00032
0.00191,0.0834018,1,0.084,1.00038
0.00192,0.0833628,1,0.084,1.0004
0.00193,0.0833241,1,0.084,1.00038
0.00194,0.0832894,1,0.084,1.00032
0.00195,0.0832614,1,0.084,1.00024
0.00196,0.0832424,1,0.084,1.00014
0.00197,0.0832334,1,0.084,1.00004
0.00198,0.0832344,1,0.084,0.99994
0.00199,0.0832447,1,0.084,0.999855
0.002,0.0832625,1,0.084,0.99979
